ID,State,Time_Horizon,MoSPI_Base,Basket_Inflation,RealTime_APIx
6D2EEEEB,All India,T,135.49,5.72%,143.24
4F6C79E4,All India,T+1,135.49,4.82%,142.02
04F550FF,All India,T+7,135.49,-21.71%,106.08
2E792FE0,All India,T+15,135.49,-9.23%,122.98
7A5EDFC3,All India,T+30,135.49,0.48%,136.14
0DF05587,All India,T+45,135.49,5.26%,142.62
9F3E50E9,Delhi,T,135.49,-2.53%,132.06
AAFEDC44,Delhi,T+1,135.49,3.04%,139.61
FEB379B9,Delhi,T+7,135.49,-20.11%,108.25
265DB9EB,Delhi,T+15,135.49,-14.34%,116.06
38779F34,Delhi,T+30,135.49,14.37%,154.95
EB022B02,Delhi,T+45,135.49,10.14%,149.22
482827AC,Karnataka,T,129.46,5.51%,136.6
015AEBD0,Karnataka,T+1,129.46,2.12%,132.2
FC1EFD25,Karnataka,T+7,129.46,-27.74%,93.54
E70AF095,Karnataka,T+15,129.46,5.15%,136.13
0AF2FE69,Karnataka,T+30,129.46,-8.01%,119.09
0B940963,Karnataka,T+45,129.46,0.35%,129.92
4EB332DA,Maharashtra,T,118.51,17.97%,139.81
DCCD50B9,Maharashtra,T+1,118.51,9.87%,130.2
EBB2A5E8,Maharashtra,T+7,118.51,-18.59%,96.47
DB279854,Maharashtra,T+15,118.51,-14.75%,101.03
EC2E88CA,Maharashtra,T+30,118.51,-12.15%,104.11
9300D7E5,Maharashtra,T+45,118.51,2.58%,121.57
